year,city,registered_voters,turnout,percent_turnout,valid_vote,ak parti,anadolu partisi,anap,atp,bbp,bp,btp,chp,dbp,dehap,depar,dp,dsp,dtp,dyp,emep,fp,genc parti,hadep,hakpar,hap,has parti,hdp,hepar,hkp,hp,huda par,hyp,idp,ip,iyi parti,kp,ldp,mcp,mdp,mep,mhp,millet partisi,mmp,odp,rp,saadet partisi,shp,sip,sp,tkp,turk parti,vatan partisi,ydh,ydp,yeni parti,ytp,yurtp,bgmz,not .  milletvekili genel seciminde  milletvekili secilmistir. ancak istanbul'dan secilen mhp milletvekillerinden bir milletvekilinin olumu nedeniyle meclis'te bulunan milletvekili sayisi  olmustur.,milletvekili sayisi,ap,birlik partisi,cgp,ckmp,cmp,demokratik parti,gp,hurriyet partisi,msp,tbp,tip,vp,ytp 
2018,antep,1214503.0,1039392.0,85.6,1019525.0,540735.0,,,,,,,158769.0,,,,,,,,,,,,,,,124858.0,,,,8743.0,,,,70179.0,,,,,,133202.0,,,,,12576.0,,,,,,2031.0,,,,,,0.0,,,,,,,,,,,,,,,
1 Kasım 2015,antep,1138374.0,955727.0,84.0,942205.0,595708.0,,,,5122.0,,925.0,157344.0,,,,814.0,393.0,,9.0,,,,,1957.0,,,103249.0,,1257.0,,,,,,,1068.0,641.0,,,,91997.0,396.0,,,,5982.0,,,,,,1220.0,,,,,,126.0,,,,,,,,,,,,,,,
7 Haziran 2015,antep,1130109.0,931622.0,82.4,912330.0,438958.0,333.0,,,,,2454.0,152798.0,,,,1371.0,1641.0,,26.0,,,,,975.0,12.0,,142951.0,,1231.0,,,,,,,196.0,581.0,,,497.0,165917.0,439.0,,,,19157.0,,,,,2215.0,1632.0,,,,,4.0,0.0,,,,,,,,,,,,,,,
2011,antep,1003541.0,843849.0,84.1,825656.0,510923.0,,,,7828.0,,,159961.0,,,,5341.0,2085.0,,0.0,0.0,,,,,,6779.0,,1556.0,,,,,,,,,0.0,,,,77836.0,1188.0,528.0,,,8270.0,,,,1336.0,,,,,,,,44610.0,,,,,,,,,,,,,,,
2007,antep,696510.0,563526.0,80.9,550000.0,328120.0,,,,,,4042.0,97271.0,,,,13286.0,,,,,,6485.0,,,,,,,,,,2197.0,,1474.0,,,,,,,63030.0,,,622.0,,7844.0,,,,1407.0,,,,,,,,27965.0,,,,,,,,,,,,,,,
2002,antep,683464.0,499109.0,73.0,482699.0,193995.0,,21196.0,,8065.0,,5431.0,93033.0,,38737.0,,,3168.0,,30781.0,,,34839.0,,,,,,,,,,,,2148.0,,,867.0,,,,33617.0,1126.0,,1070.0,,10512.0,,,,692.0,,,,,,3065.0,1984.0,123.0,,,,,,,,,,,,,,,
1999,antep,618027.0,521970.0,84.5,496114.0,,,49369.0,,8674.0,1348.0,,69568.0,,,384.0,1243.0,97025.0,4248.0,51323.0,638.0,78822.0,,27238.0,,,,,,,,,,,838.0,,,1259.0,,,,99444.0,1110.0,,2456.0,,,,453.0,,,,,,609.0,,,,1094.0,,,,,,,,,,,,,,,
1995,antep,539688.0,438763.0,81.3,420925.0,,,71857.0,,,,,44108.0,,,,,68413.0,,57678.0,,,,28115.0,,,,,,,,,,,908.0,,,,,,,42758.0,1792.0,,,100286.0,,,,,,,,2980.0,1814.0,518.0,,,998.0,,,,,,,,,,,,,,,
1991,antep,512598.0,412995.0,80.6,401599.0,,,77296.0,,,,,,,,,,28820.0,,110579.0,,,,,,,,,,,,,,,,,,,,,,,,,,71270.0,,112777.0,,1602.0,,,,,,,,,,,,,,,,,,,,,,,,
1987,antep,438776.0,415052.0,94.6,403516.0,,,147244.0,,,,,,,,,,21442.0,,67553.0,,,,,,,,,,,,,,3222.0,,,,,12987.0,,,,,,,26023.0,,125853.0,,,,,,,,,,,,,,,,,,,,,,,,,,
