,il,sandik sayisi_2019,kayitli secmen sayisi_2019,oy kullanan secmen sayisi_2019,gecerli oy sayisi_2019,saadet partisi_2019,btp_2019,tkp_2019,vatan partisi_2019,chp_2019,ak parti_2019,dp_2019,mhp_2019,iyi parti_2019,hdp_2019,dsp_2019,bgmz_2019,sandik sayisi_2009,kayitli secmen sayisi_2009,oy kullanan secmen sayisi_2009,gecerli oy sayisi_2009,anap_2009,mhp_2009,ldp_2009,dsp_2009,dtp_2009,ip_2009,chp_2009,hakpar_2009,bbp_2009,bdp_2009,millet partisi_2009,odp_2009,tkp_2009,dp_2009,saadet partisi_2009,ak parti_2009,btp_2009,emep_2009,hyp_2009,bgmz_2009,kayitli secmen sayisi_1994,oy kullanan secmen sayisi ve orani _1994,gecerli oy sayisi_1994,anap_1994,bbp_1994,chp_1994,dp_1994,dsp_1994,dyp_1994,ip_1994,millet partisi_1994,mhp_1994,rp_1994,sbp_1994,shp_1994,ydp_1994,bagimsizlar_1994,kayitli secmen sayisi_2004,oy kullanan secmen sayisi_2004,gecerli oy sayisi_2004,baskanlik sayisi_2004,emep_2004,dsp_2004,anap_2004,btp_2004,ak parti_2004,bbp_2004,ip_2004,odp_2004,ldp_2004,tkp_2004,dyp_2004,atp_2004,millet partisi_2004,chp_2004,genc parti_2004,ytp_2004,shp_2004,saadet partisi_2004,dp_2004,mhp_2004,bagimsizlar_2004,sandik sayisi_2014,kayitli secmen sayisi_2014,oy kullanan secmen sayisi_2014,gecerli oy sayisi_2014,huda par_2014,dsp_2014,a.p._2014,dyp_2014,turk parti_2014,hkp_2014,tkp_2014,genc parti_2014,bbp_2014,ak parti_2014,myp_2014,yurtp_2014,dp_2014,emep_2014,odp_2014,millet partisi_2014,saadet partisi_2014,hakpar_2014,ldp_2014,bdp_2014,btp_2014,ip_2014,hdp_2014,chp_2014,hepar_2014,mhp_2014,bgmz_2014,kayitli secmen sayisi_1999,oy kullanan secmen sayisi ve orani _1999,gecerli oy sayisi_1999,anap_1999,bp_1999,bbp_1999,chp_1999,dp_1999,dbp_1999,dsp_1999,dtp_1999,dyp_1999,dehap_1999,depar_1999,emep_1999,fp_1999,hadep_1999,ip_1999,ldp_1999,millet partisi_1999,mhp_1999,odp_1999,sip_1999,ydp_1999,BAĞIMSIZLAR_vote_1999,bagimsizlar_percent_1999,kayitli secmen sayisi_1989,oy kullanan secmen sayisi_1989,secime katilma orani _1989,gecerli oy sayisi_1989,ANAP_vote_1989,anap_percent_1989,DSP_vote_1989,dsp_percent_1989,DYP_vote_1989,dyp_percent_1989,IDP_vote_1989,idp_percent_1989,MÇP_vote_1989,mcp_percent_1989,RP_vote_1989,rp_percent_1989,SHP_vote_1989,shp_percent_1989,BAĞIMSIZLAR_vote_1989,bagimsizlar_percent_1989
0,adana,4901.0,1535332.0,1279796.0,1223105.0,23214.0,3161.0,2529.0,5764.0,656704.0,0.0,0.0,523751.0,0.0,0.0,6298.0,1684.0,3383.0,1019592.0,835470.0,802522.0,2023.0,238706.0,490.0,9670.0,74421.0,0.0,209876.0,1130.0,6507.0,0.0,930.0,0.0,786.0,4964.0,12641.0,237206.0,1546.0,0.0,943.0,683.0,,89.3,,21.8,0.4,2.9,0.1,11.2,15.9,0.2,0.4,4.5,22.4,0.2,19.7,0.2,0.1,715938.0,484729.0,461381.0,,,4248.0,,939.0,183376.0,1758.0,785.0,,,718.0,58885.0,1096.0,589.0,83119.0,14863.0,886.0,55537.0,9877.0,,43178.0,1527.0,5064.0,1457671.0,1287762.0,1236294.0,0.0,2050.0,0.0,0.0,0.0,734.0,0.0,0.0,5672.0,394481.0,0.0,0.0,0.0,0.0,0.0,1835.0,12875.0,842.0,338.0,0.0,1773.0,1703.0,90829.0,306747.0,0.0,414284.0,2131.0,629778.0,507265.0,479558.0,126635.0,929.0,1356.0,53458.0,977.0,497.0,96126.0,2452.0,19985.0,,,738.0,52473.0,41832.0,664.0,706.0,919.0,71802.0,2816.0,283.0,,5009.0,,435602.0,294847.0,67.7,280501.0,80810,28.8,16770,5.9,53113,18.9,1420,0.5,2899,1,12933,4.6,112556,40.1,,
1,ankara,12180.0,3922163.0,3362641.0,3263648.0,34182.0,5576.0,4629.0,6238.0,1662209.0,1538410.0,0.0,0.0,0.0,0.0,9706.0,2698.0,9911.0,2979744.0,2533176.0,2440455.0,6174.0,667871.0,1233.0,0.0,11353.0,0.0,763879.0,0.0,0.0,0.0,3489.0,0.0,2270.0,6877.0,29878.0,940230.0,6001.0,0.0,0.0,1200.0,,84.0,,26.2,0.3,7.1,,11.0,9.7,0.2,0.2,10.0,15.0,0.3,19.3,0.2,0.5,2269442.0,1703844.0,1636633.0,,,14905.0,5986.0,3897.0,901001.0,8379.0,4313.0,,,2775.0,32376.0,,1257.0,206630.0,26477.0,,341231.0,11205.0,,74815.0,1386.0,12253.0,3609048.0,3286145.0,3162112.0,0.0,1900.0,0.0,1266.0,1129.0,1652.0,0.0,0.0,41886.0,1417212.0,0.0,5010.0,3304.0,0.0,0.0,955.0,15224.0,1829.0,405.0,0.0,3340.0,0.0,27620.0,1385576.0,4202.0,245765.0,3837.0,1924115.0,1690527.0,1602528.0,106540.0,2194.0,9312.0,512083.0,,,169490.0,3620.0,42128.0,,,1691.0,541515.0,9631.0,1706.0,2611.0,2375.0,189400.0,6315.0,896.0,1021.0,,,1382505.0,1126031.0,81.4,1074252.0,216485,20.1,53776,5,218893,20.3,5554,0.5,41694,3.8,62968,5.8,474349,44.1,533,0
2,antalya,5437.0,1707819.0,1456390.0,1411011.0,13601.0,2071.0,2135.0,3711.0,714302.0,652882.0,8073.0,0.0,0.0,0.0,13477.0,759.0,2139.0,653936.0,539782.0,524052.0,1421.0,92287.0,296.0,2220.0,19867.0,0.0,214325.0,0.0,0.0,0.0,0.0,1039.0,710.0,4900.0,9301.0,176331.0,1149.0,0.0,0.0,206.0,,91.3,,19.3,0.4,1.9,,8.7,9.3,0.2,0.3,5.6,27.5,0.2,26.3,0.2,0.1,413294.0,278196.0,268678.0,,,1961.0,695.0,364.0,92419.0,724.0,354.0,,,421.0,69891.0,,513.0,70119.0,4011.0,,10273.0,1348.0,,15201.0,384.0,5287.0,1514939.0,1362453.0,1308435.0,0.0,2879.0,0.0,1153.0,744.0,1046.0,0.0,0.0,7047.0,476485.0,0.0,0.0,3403.0,0.0,0.0,691.0,6906.0,1095.0,203.0,0.0,1645.0,0.0,30216.0,453164.0,2639.0,318508.0,611.0,336572.0,271847.0,260989.0,28813.0,494.0,928.0,57275.0,,,48347.0,1277.0,48521.0,,,184.0,17544.0,10463.0,306.0,,544.0,44893.0,1169.0,231.0,,,,,,,,,,,,,,,,,,,,,,,
3,aydn,2754.0,820708.0,709289.0,683704.0,5641.0,1302.0,1836.0,2890.0,368791.0,299056.0,0.0,0.0,0.0,0.0,4188.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2760.0,753064.0,684556.0,651427.0,0.0,2842.0,0.0,846.0,0.0,638.0,0.0,0.0,2762.0,189921.0,0.0,0.0,1930.0,0.0,0.0,304.0,2433.0,701.0,202.0,0.0,751.0,1096.0,20275.0,285281.0,1083.0,140362.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,balkesir,3382.0,942088.0,817225.0,785432.0,7810.0,2144.0,1381.0,3425.0,0.0,375539.0,12654.0,0.0,365333.0,10197.0,5880.0,1069.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3434.0,886591.0,809897.0,775541.0,0.0,2663.0,0.0,1234.0,0.0,1015.0,0.0,0.0,3928.0,308267.0,0.0,0.0,0.0,0.0,0.0,957.0,8169.0,607.0,0.0,0.0,889.0,0.0,6251.0,196270.0,0.0,245291.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,bursa,6841.0,2176696.0,1869050.0,1810393.0,32589.0,3545.0,1451.0,4024.0,851377.0,898430.0,11747.0,0.0,0.0,0.0,5975.0,1255.0,4378.0,1331645.0,1122453.0,1074707.0,6980.0,132652.0,875.0,13192.0,0.0,0.0,289750.0,0.0,12155.0,0.0,0.0,0.0,1974.0,66083.0,32298.0,506825.0,5895.0,0.0,0.0,6028.0,,87.7,,20.2,0.3,9.0,,8.5,36.8,0.2,0.3,7.7,6.8,0.4,9.5,0.3,,820333.0,598305.0,572398.0,,,13012.0,6019.0,2379.0,307960.0,2725.0,,,,1062.0,68146.0,1089.0,774.0,98986.0,17641.0,,9530.0,22058.0,,20171.0,846.0,6799.0,1982873.0,1799299.0,1721849.0,0.0,2873.0,0.0,3754.0,1467.0,1697.0,1006.0,0.0,9447.0,852745.0,0.0,3571.0,8796.0,0.0,0.0,1114.0,35665.0,1212.0,407.0,0.0,2868.0,2172.0,28777.0,494890.0,3879.0,264358.0,1151.0,703153.0,623054.0,591465.0,122319.0,1001.0,2418.0,15620.0,,,171157.0,4798.0,116231.0,,,,94018.0,8263.0,658.0,2761.0,1040.0,44647.0,3779.0,551.0,721.0,1483.0,,436322.0,341254.0,78.2,323121.0,62983,19.4,41376,12.8,103893,32.1,1959,0.6,5905,1.8,27787,8.5,79016,24.4,202,0
6,denizli,2514.0,754368.0,665945.0,636308.0,4955.0,1768.0,1015.0,2427.0,0.0,321932.0,6985.0,0.0,279654.0,8833.0,4393.0,4346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2529.0,698884.0,647355.0,613195.0,0.0,653.0,0.0,1301.0,634.0,616.0,255.0,0.0,5450.0,277178.0,0.0,0.0,3999.0,0.0,0.0,375.0,2870.0,490.0,168.0,0.0,632.0,968.0,6404.0,237751.0,0.0,72638.0,813.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,diyarbakr,3643.0,1048250.0,824904.0,779593.0,15789.0,1425.0,909.0,521.0,14270.0,241633.0,0.0,0.0,0.0,490571.0,4378.0,10097.0,1501.0,450963.0,360973.0,349230.0,0.0,962.0,,841.0,227472.0,394.0,2011.0,1616.0,0.0,0.0,0.0,0.0,342.0,1752.0,2038.0,111134.0,668.0,0.0,0.0,0.0,,93.5,,27.7,0.3,1.0,0.3,15.9,20.0,0.2,0.4,3.4,23.2,0.2,7.1,0.2,0.1,272935.0,158006.0,152493.0,,,533.0,645.0,349.0,53816.0,775.0,178.0,,,208.0,2299.0,,,1332.0,511.0,,88907.0,1468.0,,1155.0,317.0,3501.0,924677.0,760516.0,720619.0,33256.0,467.0,0.0,405.0,503.0,0.0,0.0,0.0,7099.0,252065.0,0.0,0.0,0.0,0.0,0.0,0.0,6593.0,3188.0,0.0,397148.0,5789.0,506.0,0.0,8610.0,0.0,4677.0,313.0,237798.0,174849.0,166329.0,5810.0,,748.0,2313.0,957.0,1312.0,3964.0,1029.0,3771.0,206.0,,,40415.0,103924.0,179.0,,,1435.0,,266.0,,,,,,,,,,,,,,,,,,,,,,,
8,erzurum,2284.0,498253.0,405591.0,384917.0,8668.0,1902.0,629.0,620.0,9331.0,241789.0,0.0,0.0,97945.0,23167.0,866.0,0.0,782.0,227052.0,183443.0,178380.0,0.0,60477.0,,322.0,2215.0,0.0,1993.0,0.0,0.0,0.0,0.0,0.0,184.0,905.0,10325.0,101524.0,435.0,0.0,0.0,0.0,,72.9,,23.3,0.6,2.1,,,18.1,0.4,,6.1,29.1,,18.9,0.7,0.7,189595.0,114181.0,110270.0,,,240.0,190.0,212.0,67463.0,928.0,75.0,,,118.0,2033.0,,,1702.0,755.0,,,3914.0,,32640.0,,2366.0,483198.0,416732.0,402555.0,0.0,0.0,0.0,308.0,0.0,493.0,0.0,0.0,3644.0,236886.0,0.0,0.0,1291.0,0.0,0.0,0.0,9331.0,529.0,0.0,25096.0,864.0,214.0,0.0,6297.0,0.0,116494.0,1108.0,157550.0,125922.0,119845.0,7078.0,,4241.0,3625.0,,,4942.0,309.0,22871.0,,,,31390.0,,229.0,998.0,,43626.0,,,536.0,,,,,,,,,,,,,,,,,,,,,,
9,eskisehir,2227.0,651356.0,560763.0,546269.0,6579.0,872.0,602.0,1162.0,285688.0,246582.0,0.0,0.0,0.0,0.0,4296.0,488.0,1559.0,460672.0,392825.0,378540.0,0.0,21408.0,,195035.0,0.0,0.0,10598.0,0.0,0.0,0.0,0.0,0.0,448.0,3957.0,6153.0,140478.0,463.0,0.0,0.0,0.0,,89.1,,21.8,1.9,0.5,0.4,1.2,7.3,0.1,0.3,25.4,38.0,,1.7,1.4,,363459.0,293856.0,283431.0,,375.0,126854.0,965.0,456.0,117205.0,1004.0,385.0,,,296.0,23719.0,,,,3446.0,,,2223.0,,6128.0,375.0,2236.0,602309.0,546580.0,524710.0,0.0,2073.0,0.0,641.0,0.0,397.0,0.0,0.0,6697.0,204906.0,0.0,0.0,2985.0,0.0,0.0,374.0,4638.0,335.0,143.0,0.0,513.0,0.0,3493.0,237414.0,930.0,58746.0,425.0,313487.0,285372.0,272812.0,26087.0,,1022.0,10281.0,597.0,,116979.0,1602.0,65012.0,,,,25267.0,907.0,269.0,,467.0,23195.0,906.0,221.0,,,,,,,,,,,,,,,,,,,,,,,
