year,registered_voter,turnout,percent_turnout,valid_vote,num_milletvekili,toplam_gecerli_oy_sayisi,milletvekili_sayisi,ak_partitotal_votes,ak_partipercent_votes,anadolu_partisitotal_votes,anadolu_partisipercent_votes,anaptotal_votes,anappercent_votes,atptotal_votes,atppercent_votes,bbptotal_votes,bbppercent_votes,bptotal_votes,bppercent_votes,btptotal_votes,btppercent_votes,chptotal_votes,chppercent_votes,dbptotal_votes,dbppercent_votes,dehaptotal_votes,dehappercent_votes,departotal_votes,deparpercent_votes,dptotal_votes,dppercent_votes,dsptotal_votes,dsppercent_votes,dtptotal_votes,dtppercent_votes,dyptotal_votes,dyppercent_votes,emeptotal_votes,emeppercent_votes,fptotal_votes,fppercent_votes,genc_partitotal_votes,genc_partipercent_votes,hadeptotal_votes,hadeppercent_votes,hakpartotal_votes,hakparpercent_votes,haptotal_votes,happercent_votes,has_partitotal_votes,has_partipercent_votes,hdptotal_votes,hdppercent_votes,hepartotal_votes,heparpercent_votes,hkptotal_votes,hkppercent_votes,hptotal_votes,hppercent_votes,huda_partotal_votes,huda_parpercent_votes,hyptotal_votes,hyppercent_votes,idptotal_votes,idppercent_votes,iptotal_votes,ippercent_votes,iyi_partitotal_votes,iyi_partipercent_votes,kptotal_votes,kppercent_votes,ldptotal_votes,ldppercent_votes,mcptotal_votes,mcppercent_votes,mdptotal_votes,mdppercent_votes,meptotal_votes,meppercent_votes,mhptotal_votes,mhppercent_votes,millet_partisitotal_votes,millet_partisipercent_votes,mmptotal_votes,mmppercent_votes,odptotal_votes,odppercent_votes,rptotal_votes,rppercent_votes,saadet_partisitotal_votes,saadet_partisipercent_votes,shptotal_votes,shppercent_votes,siptotal_votes,sippercent_votes,sptotal_votes,sppercent_votes,tkptotal_votes,tkppercent_votes,turk_partitotal_votes,turk_partipercent_votes,vatan_partisitotal_votes,vatan_partisipercent_votes,ydhtotal_votes,ydhpercent_votes,ydptotal_votes,ydppercent_votes,yeni_partitotal_votes,yeni_partipercent_votes,ytptotal_votes,ytppercent_votes,yurtptotal_votes,yurtppercent_votes,bgmztotal_votes,bgmzpercent_votes,city,aptotal_votes,appercent_votes,birlik_partisitotal_votes,birlik_partisipercent_votes,cgptotal_votes,cgppercent_votes,ckmptotal_votes,ckmppercent_votes,cmptotal_votes,cmppercent_votes,demokratik_partitotal_votes,demokratik_partipercent_votes,gptotal_votes,gppercent_votes,hurriyet_partisitotal_votes,hurriyet_partisipercent_votes,msptotal_votes,msppercent_votes,tbptotal_votes,tbppercent_votes,tiptotal_votes,tippercent_votes,vptotal_votes,vppercent_votes,ytp_total_votes,ytp_percent_votes
2018,59367469.0,51189444.0,86.2,48631366.0,1505809.0,50137175.0,600.0,21338693.0,42.6,,,,,,,,,,,,,11354190.0,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5867302.0,11.7,,,,,,,155539.0,0.3,,,,,,,4993479.0,10.0,,,,,,,,,,,5565331.0,11.1,,,,,,,,,672139.0,1.3,,,,,,,,,,,114872.0,0.2,,,,,,,,,,,75630.0,0.2,TR,,,,,,,,,,,,,,,,,,,,,,,,,,
2015_1,56949009.0,48537695.0,85.2,46555267.0,1284964.0,47840231.0,550.0,23681926.0,49.5,,,,,,,253204.0,0.5,,,49297.0,0.1,12111812.0,25.3,,,,,,,69319.0,0.1,31805.0,0.1,,,14131.0,0.0,,,,,,,,,108583.0,0.2,,,,,5148085.0,10.8,,,83057.0,0.2,,,,,,,,,,,,,52527.0,0.1,26816.0,0.1,,,,,,,5694136.0,11.9,19714.0,0.0,,,,,,,325978.0,0.7,,,,,,,,,,,118803.0,0.2,,,,,,,,,,,51038.0,0.1,TR,,,,,,,,,,,,,,,,,,,,,,,,,,
2015_2,56608817.0,47507467.0,83.9,45121773.0,1041470.0,46163243.0,550.0,18867411.0,40.9,27688.0,0.1,,,,,,,,,96475.0,0.2,11518139.0,25.0,,,,,,,75784.0,0.2,85810.0,0.2,,,28852.0,0.1,,,,,,,,,58716.0,0.1,5711.0,0.0,,,6058489.0,13.1,,,60396.0,0.1,,,,,,,,,,,,,13780.0,0.0,26500.0,0.1,,,,,20945.0,0.0,7520006.0,16.3,17473.0,0.0,,,,,,,949178.0,2.1,,,,,,,,,72701.0,0.2,161674.0,0.4,,,,,,,,,9289.0,0.0,488226.0,1.1,TR,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,52806322.0,43914948.0,83.2,42813896.0,127867.0,42941763.0,550.0,21399082.0,49.8,,,,,,,323251.0,0.8,,,,,11155972.0,26.0,,,,,,,279480.0,0.7,108089.0,0.3,,,64607.0,0.2,32128.0,0.1,,,,,,,,,,,329723.0,0.8,,,124415.0,0.3,,,,,,,,,,,,,,,,,15222.0,0.0,,,,,,,5585513.0,13.0,60716.0,0.1,36188.0,0.1,,,,,543454.0,1.3,,,,,,,64006.0,0.1,,,,,,,,,,,,,,,2819917.0,6.6,TR,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,42799303.0,36056293.0,84.2,34822907.0,226784.0,35049691.0,550.0,16327291.0,46.6,,,,,100982.0,0.3,,,,,182095.0,0.5,7317808.0,20.9,,,,,,,1898873.0,5.4,,,,,,,26292.0,0.1,,,1064871.0,3.0,,,,,,,,,,,,,,,,,,,179010.0,0.5,,,128148.0,0.4,,,,,35364.0,0.1,,,,,,,5001869.0,14.3,,,,,52055.0,0.2,,,820289.0,2.3,,,,,,,79258.0,0.2,,,,,,,,,,,,,,,1835486.0,5.2,TR,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,41407027.0,32768161.0,79.1,31414748.0,114035.0,31528783.0,550.0,10808229.0,34.3,,,1618465.0,5.1,,,322093.0,1.0,,,150482.0,0.5,6113352.0,19.4,,,1960660.0,6.2,,,,,384009.0,1.2,,,3008942.0,9.5,,,,,2285598.0,7.2,,,,,,,,,,,,,,,,,,,,,,,159843.0,0.5,,,,,89331.0,0.3,,,,,,,2635787.0,8.4,68271.0,0.2,,,106023.0,0.3,,,785489.0,2.5,,,,,,,59180.0,0.2,,,,,,,,,,,363869.0,1.2,294909.0,0.9,314251.0,1.0,TR,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,37495217.0,32656070.0,87.1,31119242.0,65254.0,31184496.0,550.0,,,,,4122929.0,13.2,,,456353.0,1.5,78922.0,0.2,,,2716094.0,8.7,24620.0,0.1,,,37175.0,0.1,92093.0,0.3,6919670.0,22.2,179871.0,0.6,3745417.0,12.0,51756.0,0.2,4805381.0,15.4,,,1482196.0,4.7,,,,,,,,,,,,,,,,,,,,,57607.0,0.2,,,,,127174.0,0.4,,,,,,,5606583.0,18.0,79370.0,0.3,,,248553.0,0.8,,,,,,,37680.0,0.1,,,,,,,,,,,44787.0,0.1,,,,,,,270265.0,0.9,TR,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,34155981.0,29101469.0,85.2,28040392.0,86601.0,28126993.0,550.0,,,,,5527288.0,19.6,,,,,,,,,3011076.0,10.7,,,,,,,,,4118025.0,14.6,,,5396009.0,19.2,,,,,,,1171623.0,4.2,,,,,,,,,,,,,,,,,,,,,61428.0,0.2,,,,,,,,,,,,,2301343.0,8.2,127630.0,0.5,,,,,6012450.0,21.4,,,,,,,,,,,,,,,133889.0,0.5,95484.0,0.3,36853.0,0.1,,,,,133895.0,0.5,TR,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,29979123.0,25157089.0,83.9,24371474.0,45192.0,24416666.0,450.0,,,,,5862623.0,24.0,,,,,,,,,,,,,,,,,,,2624301.0,10.8,,,6600726.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4121355.0,16.9,,,5066571.0,20.8,,,108369.0,0.4,,,,,,,,,,,,,,,,,32721.0,0.1,TR,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,26376926.0,24603541.0,93.3,23923687.0,47942.0,23971629.0,450.0,,,,,8704335.0,36.3,,,,,,,,,,,,,,,,,,,2044576.0,8.5,,,4587062.0,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,196272.0,0.8,,,,,,,,,701538.0,2.9,,,,,,,,,,,,,1717425.0,7.2,,,5931000.0,24.8,,,,,,,,,,,,,,,,,,,,,89421.0,0.4,TR,,,,,,,,,,,,,,,,,,,,,,,,,,
